编号,序号,代码,名称,涨跌幅,价格,涨跌额,5分钟涨跌额,今开,昨收,最高,最低,成交量,成交额,换手,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
349,1750,601766,中国中车,-0.0461,6.62,-0.32,-0.0043,6.88,6.94,6.88,6.6,1916000,1289000000,0.0078,0.72,0.7665,0.0403,18.4,1.61E+11,1.90E+11,0.36,6793000000,1.46E+11
350,1751,603506,南都物业,-0.0462,21.07,-1.02,-0.0041,21.92,22.09,22.09,21,12000,25570000,0.0357,0.74,0.0921,0.0493,21.5,708000000,2830000000,0.98,105000000,1017000000
351,1752,600562,国睿科技,-0.0462,16.73,-0.81,-0.0006,17.54,17.54,17.54,16.73,71129,121000000,0.0107,1.21,0.6294,0.0462,69.8,11060000000,20780000000,0.24,255000000,2430000000
352,1753,600303,曙光股份,-0.0465,3.9,-0.19,0.0049,3.97,4.09,3.97,3.82,281800,110000000,0.0416,3.12,0.2683,0.0367,24.4,2635000000,2635000000,0.16,-28750000,1310000000
353,1754,688277,天智航,-0.0465,44.32,-2.16,-0.0082,46.4,46.48,47.31,44.31,12698,58010000,0.0339,1.22,-0.2525,0.0605,4460,1643000000,18660000000,0.01,-51220000,76440000
354,1755,603589,口子窖,-0.0465,64.17,-3.13,0.0013,67.18,67.3,67.83,63.84,82019,537000000,0.0136,1.48,0.7487,0.0593,29.8,38410000000,38410000000,2.15,864000000,2687000000
355,1756,603256,宏和科技,-0.0471,9.51,-0.47,-0.001,9.91,9.98,9.93,9.42,51006,48970000,0.0374,1.24,0.6344,0.0511,73.2,1294000000,8357000000,0.13,85780000,461000000
356,1757,601601,中国太保,-0.0477,37.76,-1.89,-0.0003,39.5,39.65,39.5,37.7,382900,1469000000,0.0056,1.22,0.2349,0.0454,14.3,2.59E+11,3.64E+11,2.65,19640000000,3.42E+11
357,1758,600460,士兰微,-0.0478,25.9,-1.3,0.0004,27.21,27.2,27.48,25.5,448800,1181000000,0.0341,1.24,-0.4602,0.0728,6475,33980000000,33980000000,0,44270000,2964000000
358,1759,688365,光云科技,-0.048,23.01,-1.16,-0.0012,23.96,24.17,24.11,22.98,7558,17720000,0.0211,1.29,-0.3173,0.0468,53.5,821000000,9223000000,0.43,58630000,364000000
359,1760,600333,长春燃气,-0.0481,5.94,-0.3,0.0016,6.13,6.24,6.19,5.9,230500,139000000,0.0378,1.29,0.5672,0.0465,593,3612000000,3612000000,0.01,-90350000,948000000
360,1761,688019,安集科技,-0.0481,340.77,-17.23,-0.0011,356.6,358,365,338.02,8038,278000000,0.0269,0.94,0.0653,0.0754,135.8,10180000000,18090000000,2.51,114000000,309000000
361,1762,601375,中原证券,-0.0487,5.47,-0.28,0.0017,5.66,5.75,5.69,5.41,1082000,599000000,0.0404,1.76,0.5962,0.0487,-136.3,14570000000,25300000000,-0.04,86750000,2208000000
362,1763,688311,盟升电子,-0.0489,98.45,-5.06,-0.004,104.54,103.51,104.54,98.12,6299,63260000,0.0224,0.96,0.4764,0.062,100.6,2712000000,11300000000,0.98,35130000,172000000
363,1764,600381,青海春天,-0.0491,7.16,-0.37,-0.0013,7.26,7.53,7.45,7.04,203500,147000000,0.0346,1.06,0.3585,0.0544,-60.6,4197000000,4197000000,-0.12,-103000000,62400000
364,1765,600323,瀚蓝环境,-0.0493,22.96,-1.19,0.0041,24.21,24.15,24.34,22.86,54027,126000000,0.0069,2.37,-0.0981,0.0613,18.7,17580000000,17580000000,1.23,769000000,5147000000
365,1766,688396,华润微,-0.0495,67.21,-3.5,-0.0016,71.13,70.71,71.96,66.98,116700,801000000,0.0467,1.43,0.4377,0.0704,63.2,16710000000,81620000000,1.06,687000000,4889000000
366,1767,600319,ST亚星,-0.0499,5.9,-0.31,0,5.9,6.21,5.9,5.9,453,267300,0.0001,0.33,-1,0,-196.7,1862000000,1862000000,-0.03,-19970000,42840000
367,1768,601231,环旭电子,-0.0501,18,-0.95,-0.0005,18.96,18.95,19.3,17.93,221600,407000000,0.0101,1.78,0.746,0.0723,28.1,39250000000,39720000000,0.64,1001000000,29470000000
368,1769,603378,亚士创能,-0.0502,43.15,-2.28,-0.0015,45,45.43,45.02,43.12,23055,101000000,0.0118,1.12,-0.1398,0.0418,30.6,8408000000,8898000000,1.41,237000000,2366000000
369,1770,605111,新洁能,-0.0506,198.42,-10.58,0.0119,207.16,209,210,193,25012,500000000,0.0983,1.61,0.1739,0.0813,152.7,4984000000,19930000000,1.29,101000000,666000000
370,1771,603595,东尼电子,-0.0508,22.04,-1.18,0.0004,22.74,23.22,23,22,24624,54930000,0.0152,1.35,-0.5522,0.0431,73.5,3557000000,4695000000,0.3,36540000,559000000
