编号,序号,代码,名称,涨跌幅,价格,涨跌额,5分钟涨跌额,今开,昨收,最高,最低,成交量,成交额,换手,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
14,1415,600340,华夏幸福,-0.0255,11.07,-0.29,-0.0026,11.25,11.36,11.25,11.06,163700,182000000,0.0042,0.84,0.7249,0.0167,3.2,43090000000,43320000000,3.41,7280000000,56730000000
15,1416,603636,南威软件,-0.0255,9.16,-0.24,0.0021,9.38,9.4,9.48,9.08,26784,24610000,0.0045,1.53,0.7815,0.0426,41.1,5412000000,5412000000,0.22,-6580000,489000000
16,1417,600965,福成股份,-0.0255,5.34,-0.14,-0.0055,5.48,5.48,5.48,5.34,16841,9043000,0.002,1.43,0.5161,0.0255,32.2,4380000000,4380000000,0.17,87090000,765000000
17,1418,600986,浙文互联,-0.0256,4.19,-0.11,0,4.33,4.3,4.33,4.17,120500,50820000,0.0091,1.56,0.5752,0.0372,-2.2,5516000000,5550000000,-1.9,102000000,6893000000
18,1419,600825,新华传媒,-0.0256,4.18,-0.11,0,4.29,4.29,4.29,4.16,24128,10160000,0.0023,1.19,-0.0825,0.0303,321.5,4368000000,4368000000,0.01,15690000,801000000
19,1420,600895,张江高科,-0.0257,17.07,-0.45,-0.0006,17.46,17.52,17.5,17.02,85578,147000000,0.0055,1.31,0.1957,0.0274,23.4,26460000000,26460000000,0.73,1007000000,602000000
20,1421,603533,掌阅科技,-0.0257,33.37,-0.88,-0.0006,34,34.25,34.87,33.33,62623,212000000,0.0156,1.06,0.1418,0.045,61.9,13390000000,13390000000,0.54,166000000,1495000000
21,1422,600729,重庆百货,-0.0257,27.3,-0.72,0.0007,27.9,28.02,27.9,27.11,23938,65570000,0.0059,1.48,0.7968,0.0282,10.7,11080000000,11090000000,2.55,958000000,22550000000
22,1423,600679,上海凤凰,-0.0257,12.49,-0.33,-0.0008,12.73,12.82,12.79,12.48,14348,18020000,0.0062,1.17,0.3525,0.0242,88.5,2880000000,5817000000,0.14,53570000,1030000000
23,1424,601500,通用股份,-0.0258,5.29,-0.14,0.0018,5.41,5.43,5.41,5.27,22600,12040000,0.0026,1.54,-0.1656,0.0258,49.8,4606000000,4606000000,0.11,85800000,2461000000
24,1425,600419,天润乳业,-0.0258,16.23,-0.43,-0.0012,16.59,16.66,16.79,16.17,58002,95170000,0.0215,1.37,0.5926,0.0372,29,4362000000,4362000000,0.56,120000000,1319000000
25,1426,601212,白银有色,-0.0258,2.64,-0.07,0.0037,2.7,2.71,2.7,2.62,383700,102000000,0.0052,1.92,0.5937,0.0295,264,19540000000,19540000000,0.01,22170000,47000000000
26,1427,603496,恒为科技,-0.0259,16.2,-0.43,0,16.63,16.63,16.63,16.07,9280,15040000,0.0047,0.92,0.6768,0.0337,754.9,3228000000,3262000000,0.02,6634000,309000000
27,1428,600999,招商证券,-0.026,25.89,-0.69,0.0023,26.26,26.58,27.08,25.75,462900,1221000000,0.0062,1.2,-0.0538,0.05,22.2,1.92E+11,2.26E+11,1.17,7271000000,17900000000
28,1429,601618,中国中冶,-0.026,3,-0.08,0,3.06,3.08,3.06,2.97,1254000,378000000,0.007,0.98,0.4801,0.0292,11.1,53370000000,61960000000,0.27,4607000000,2.68E+11
29,1430,688199,久日新材,-0.026,44.6,-1.19,0.0015,45.79,45.79,45.82,44.38,5347,24010000,0.0067,1.15,0.1453,0.0314,41.3,3498000000,4961000000,1.08,114000000,707000000
30,1431,601818,光大银行,-0.026,4.12,-0.11,0,4.24,4.23,4.26,4.1,1141000,475000000,0.0027,1,0.3355,0.0355,6.5,1.70E+11,2.23E+11,0.63,29600000000,1.07E+11
31,1432,600730,中国高科,-0.026,4.12,-0.11,0.0024,4.23,4.23,4.24,4.11,21949,9107000,0.0037,1.23,0.654,0.0307,-37.1,2417000000,2417000000,-0.11,10680000,74290000
32,1433,603095,越剑智能,-0.0261,22.05,-0.59,0,22.58,22.64,22.58,21.95,3522,7786000,0.0104,0.92,0.7067,0.0278,20,727000000,2908000000,1.1,86430000,498000000
33,1434,600805,悦达投资,-0.0261,4.11,-0.11,0.0024,4.14,4.22,4.19,4.08,79068,32620000,0.0093,1.47,0.8175,0.0261,-9.6,3486000000,3489000000,-0.43,-384000000,1954000000
34,1435,688028,沃尔德,-0.0261,33.25,-0.89,-0.0006,34.14,34.14,34.3,33.2,2520,8452000,0.0066,0.8,0.0688,0.0322,46.8,1269000000,2660000000,0.71,41320000,170000000
35,1436,688555,泽达易盛,-0.0261,32.12,-0.86,-0.0003,32.76,32.98,32.78,32.1,1558,5023000,0.0079,0.89,-0.0458,0.0206,25.3,634000000,2669000000,1.27,49070000,164000000
36,1437,603709,中源家居,-0.0261,22.4,-0.6,-0.0004,23.18,23,23.28,22.12,19867,44860000,0.0992,2.04,-0.2727,0.0504,84,453000000,1814000000,0.27,35420000,809000000
37,1438,603003,龙宇燃油,-0.0261,7.09,-0.19,0,7.25,7.28,7.29,7.01,13256,9450000,0.0031,1.36,-0.764,0.0385,54,2953000000,2953000000,0.13,17090000,7230000000
38,1439,603220,中贝通信,-0.0261,13.43,-0.36,0.0029,13.82,13.79,13.83,13.39,23989,32400000,0.0129,1.5,0.2129,0.0319,47.5,2501000000,4550000000,0.28,20350000,1150000000
39,1440,603116,红蜻蜓,-0.0262,5.58,-0.15,-0.0017,5.71,5.73,5.75,5.58,8504,4788000,0.0015,1.76,0.1988,0.0297,46.6,3221000000,3221000000,0.12,59660000,1626000000
40,1441,600162,香江控股,-0.0262,1.86,-0.05,0,1.9,1.91,1.91,1.86,54770,10280000,0.0016,1.34,0.2526,0.0262,41.6,6350000000,6350000000,0.04,-8866000,1645000000
41,1442,603633,徕木股份,-0.0263,8.9,-0.24,0.0011,9.28,9.14,9.28,8.86,13294,11950000,0.005,0.89,0.4373,0.046,52.3,2343000000,2343000000,0.17,31060000,365000000
42,1443,688057,金达莱,-0.0263,32.6,-0.88,-0.0009,33.37,33.48,33.54,32.5,11631,38240000,0.0182,2.2,-0.1227,0.0311,18,2079000000,8998000000,1.81,307000000,776000000
43,1444,688981,中芯国际,-0.0263,57.75,-1.56,-0.0022,59.31,59.31,59.9,57.68,254900,1495000000,0.0232,0.98,0.2755,0.0374,113.2,63260000000,4.56E+11,0.51,3080000000,20800000000
44,1445,603906,龙蟠科技,-0.0263,32.94,-0.89,-0.0006,33.95,33.83,34.58,32.76,57424,194000000,0.0167,1.3,-0.4584,0.0538,55.9,11310000000,11360000000,0.59,144000000,1370000000
45,1446,601599,鹿港文化,-0.0263,2.59,-0.07,0,2.63,2.66,2.66,2.55,46287,11990000,0.0051,0.98,0.7056,0.0414,-1.1,2312000000,2312000000,-2.3,-997000000,1226000000
46,1447,600053,九鼎投资,-0.0263,18.86,-0.51,0.0015,19.37,19.37,19.42,18.81,16827,31970000,0.0039,0.67,0.872,0.0315,11.7,8172000000,8172000000,1.61,130000000,275000000
47,1448,603815,交建股份,-0.0263,9.98,-0.27,0.0029,10.19,10.25,10.24,9.95,22968,23080000,0.0141,0.75,-0.245,0.0283,50,1631000000,4985000000,0.2,41920000,1874000000
48,1449,601881,中国银河,-0.0264,11.81,-0.32,0.0016,12.1,12.13,12.13,11.76,253500,303000000,0.0039,1.9,0.6274,0.0305,16.9,76190000000,1.20E+11,0.7,5651000000,18080000000
49,1450,600528,中铁工业,-0.0264,8.85,-0.24,0,9.01,9.09,9.05,8.82,113800,101000000,0.0051,1.5,0.7748,0.0253,11.5,19660000000,19660000000,0.77,1403000000,18000000000
50,1451,600751,海航科技,-0.0264,2.58,-0.07,0.0038,2.65,2.65,2.65,2.56,205900,53320000,0.008,1.06,0.5135,0.034,10.6,6639000000,7480000000,0.24,459000000,2.36E+11
51,1452,603351,威尔药业,-0.0264,20.99,-0.57,-0.0093,21.56,21.56,22.22,20.96,6283,13460000,0.0104,1.38,-0.6946,0.0584,27.6,1252000000,2741000000,0.76,75600000,512000000
52,1453,603881,数据港,-0.0266,62.3,-1.7,0.0028,63.99,64,65.45,61.81,35438,224000000,0.0168,1.12,-0.376,0.0569,103.8,13110000000,14630000000,0.6,110000000,652000000
53,1454,600081,东风科技,-0.0266,13.16,-0.36,-0.0015,13.58,13.52,13.58,13.1,61783,81760000,0.0195,0.91,0.782,0.0355,30.3,4126000000,4126000000,0.43,93920000,4722000000
54,1455,600770,综艺股份,-0.0266,5.48,-0.15,-0.0018,5.62,5.63,5.62,5.41,141900,77780000,0.0109,1.83,0.2463,0.0373,27.1,7137000000,7137000000,0.2,221000000,329000000
55,1456,605158,华达新材,-0.0267,10.56,-0.29,-0.0037,10.85,10.85,10.85,10.56,10594,11310000,0.0107,1.45,-0.2237,0.0258,13,1040000000,4158000000,0.81,203000000,4397000000
56,1457,605500,森林包装,-0.0268,18.19,-0.5,-0.0011,18.69,18.69,18.69,18.18,24079,44200000,0.0479,0.63,-0.1925,0.0273,16.1,909000000,3636000000,1.13,118000000,1482000000
57,1458,688033,天宜上佳,-0.0268,13.44,-0.37,0,13.76,13.81,13.88,13.41,19717,26660000,0.0065,1.32,0.3151,0.034,49.7,4092000000,6027000000,0.27,63260000,237000000
58,1459,600316,洪都航空,-0.0269,50.31,-1.39,0.0002,51.69,51.7,52.31,50.12,151200,772000000,0.021,1.13,-0.124,0.0424,205.6,36070000000,36070000000,0.24,12680000,3016000000
59,1460,603630,拉芳家化,-0.0269,14.1,-0.39,0.0014,14.49,14.49,14.49,14.06,16632,23570000,0.0074,1.13,0.6524,0.0297,44,3162000000,3194000000,0.32,82160000,653000000
60,1461,600114,东睦股份,-0.0269,7.95,-0.22,0.0061,8.12,8.17,8.14,7.87,61868,49310000,0.0101,0.95,-0.0979,0.033,18,4864000000,4888000000,0.44,48370000,2252000000
61,1462,601088,中国神华,-0.027,18.39,-0.51,-0.0021,18.91,18.9,18.91,18.33,241000,445000000,0.0015,0.95,0.7101,0.0307,9.2,3.03E+11,3.66E+11,2,33560000000,1.66E+11
62,1463,688278,特宝生物,-0.0271,32.01,-0.89,-0.0012,32.78,32.9,32.96,31.76,5998,19320000,0.0027,1.48,0.1367,0.0365,86.5,7053000000,13020000000,0.37,76260000,561000000
63,1464,688096,京源环保,-0.0271,16.18,-0.45,0,16.59,16.63,16.59,16.18,1364,2218000,0.0054,0.63,0.6734,0.0247,14.1,412000000,1736000000,1.15,36360000,205000000
64,1465,603936,博敏电子,-0.0271,11.5,-0.32,-0.0008,11.93,11.82,11.93,11.47,34101,39640000,0.0086,1.31,0.7008,0.0389,20.9,4570000000,5887000000,0.55,157000000,1996000000
65,1466,688556,高测股份,-0.0272,22.93,-0.64,-0.0013,23.59,23.57,23.92,22.8,10914,25360000,0.0294,1.31,-0.3873,0.0475,39,847000000,3724000000,0.59,41640000,507000000
66,1467,688377,迪威尔,-0.0272,16.46,-0.46,0,16.93,16.92,16.98,16.43,3395,5636000,0.0073,0.96,0.4158,0.0325,28.9,761000000,3204000000,0.57,70320000,565000000
67,1468,603927,中科软,-0.0272,37.88,-1.06,-0.0026,38.84,38.94,38.84,37.8,23468,89720000,0.0069,1.17,0.3088,0.0239,35,12310000000,16080000000,1.08,205000000,3632000000
68,1469,600523,贵航股份,-0.0272,16.08,-0.45,-0.0012,16.6,16.53,16.6,16.08,22408,36410000,0.0055,0.77,0.4825,0.0315,39.3,6513000000,6517000000,0.41,101000000,1551000000
69,1470,688308,欧科亿,-0.0273,24.26,-0.68,-0.0044,24.87,24.94,24.87,24.19,7429,18170000,0.032,1.2,0.2485,0.0273,20.5,550000000,2419000000,1.18,77660000,495000000
70,1471,600622,光大嘉宝,-0.0273,3.21,-0.09,-0.003,3.27,3.3,3.28,3.19,61930,19990000,0.0041,1.01,0.6447,0.0273,10.7,4814000000,4814000000,0.3,298000000,3022000000
71,1472,600197,伊力特,-0.0273,24.24,-0.68,0.0012,24.85,24.92,25.1,24.2,83302,205000000,0.0178,0.99,0.7628,0.0361,30.3,11340000000,11340000000,0.8,202000000,1158000000
72,1473,688004,博汇科技,-0.0273,42.73,-1.2,-0.0043,44.48,43.93,44.48,42.53,1288,5549000,0.0095,0.67,-0.164,0.0444,34,576000000,2426000000,1.26,16070000,145000000
73,1474,600188,兖州煤业,-0.0273,9.97,-0.28,-0.001,10.2,10.25,10.2,9.94,221300,222000000,0.0075,1.46,0.5866,0.0254,6.6,29480000000,48400000000,1.51,5690000000,1.54E+11
74,1475,600292,远达环保,-0.0273,6.05,-0.17,0,6.02,6.22,6.12,5.82,219200,131000000,0.028,1.51,-0.2785,0.0482,75.5,4716000000,4716000000,0.08,57250000,2439000000
75,1476,600037,歌华有线,-0.0274,8.89,-0.25,0.0011,9.14,9.14,9.14,8.81,118600,106000000,0.0085,1.98,-0.3286,0.0361,47.4,12350000000,12350000000,0.19,151000000,1739000000
76,1477,600689,上海三毛,-0.0274,6.4,-0.18,-0.0076,6.55,6.58,6.57,6.38,6401,4134000,0.0042,1.07,0.2255,0.0289,-93.8,971000000,1282000000,-0.07,-9189000,851000000
77,1478,600302,标准股份,-0.0274,3.91,-0.11,0,4.03,4.02,4.03,3.9,15760,6188000,0.0045,1.43,0.3547,0.0323,-14.6,1353000000,1353000000,-0.27,1134000,611000000
78,1479,601788,光大证券,-0.0274,17.4,-0.49,0.0017,17.8,17.89,18.11,17.33,350600,621000000,0.0089,1.72,0.3688,0.0436,49.2,67890000000,80130000000,0.35,3310000000,10670000000
79,1480,600971,恒源煤电,-0.0274,5.68,-0.16,0.0017,5.81,5.84,5.84,5.64,129700,74110000,0.0108,1.2,0.5319,0.0342,8.3,6816000000,6816000000,0.68,409000000,3526000000
80,1481,600052,浙江广厦,-0.0274,2.84,-0.08,-0.0034,2.92,2.92,2.93,2.82,24118,6881000,0.0028,1.18,0.2561,0.0377,71,2398000000,2398000000,0.04,11250000,177000000
81,1482,601609,金田铜业,-0.0274,10.29,-0.29,0.0028,10.44,10.58,10.53,10.21,105100,109000000,0.0432,1.37,-0.0062,0.0302,25,2488000000,14970000000,0.41,360000000,31540000000
82,1483,603729,龙韵股份,-0.0274,12.76,-0.36,0,13.21,13.12,13.21,12.63,9894,12680000,0.0106,0.89,-0.4871,0.0442,-255.2,1191000000,1191000000,-0.05,5908000,438000000
83,1484,600705,中航资本,-0.0275,4.24,-0.12,0.0023,4.35,4.36,4.35,4.22,347400,148000000,0.0039,1.42,0.4527,0.0298,10.3,37680000000,37820000000,0.41,2656000000,7513000000
84,1485,600756,浪潮软件,-0.0276,15.15,-0.43,0.0006,15.56,15.58,15.58,15.1,35510,54020000,0.0109,1.93,0.5896,0.0308,-252.5,4910000000,4910000000,-0.06,-106000000,730000000
85,1486,603818,曲美家居,-0.0277,7.72,-0.22,-0.0063,7.94,7.94,7.94,7.68,38969,30350000,0.0066,5.55,0.0673,0.0327,110,4469000000,4488000000,0.07,31180000,2901000000
86,1487,600061,国投资本,-0.0277,13.67,-0.39,0.0007,13.97,14.06,14.03,13.62,215200,298000000,0.0051,1.43,0.4305,0.0292,14.2,57740000000,57740000000,0.96,3552000000,322000000
87,1488,600145,*ST新亿,-0.0278,1.05,-0.03,-0.0093,1.08,1.08,1.08,1.05,27983,2965000,0.0019,0.87,0.4996,0.0278,84.7,1566000000,1566000000,0.01,176500,9975000
88,1489,603887,城地香江,-0.0278,15.73,-0.45,0.0012,16.22,16.18,16.22,15.66,22317,35350000,0.0078,0.89,0.0741,0.0346,14.4,4509000000,5908000000,1.09,283000000,2537000000
89,1490,600291,西水股份,-0.0278,4.89,-0.14,0.002,5,5.03,5,4.88,124400,61260000,0.0114,1.85,0.3402,0.0239,-0.6,5356000000,5356000000,-8.13,-8731000000,21180000000
90,1491,605258,协和电子,-0.0279,32.45,-0.93,-0.0033,33.38,33.38,33.38,32.1,12138,39540000,0.0551,1.12,0.0189,0.0383,19.6,714000000,2856000000,1.65,62400000,428000000
91,1492,603399,吉翔股份,-0.0279,4.18,-0.12,0,4.32,4.3,4.34,4.13,33786,14160000,0.0066,1.34,-0.0554,0.0488,-6.6,2124000000,2134000000,-0.63,-150000000,1654000000
92,1493,600532,未来股份,-0.028,12.85,-0.37,0.0015,13.16,13.22,13.34,12.82,17341,22590000,0.0033,0.88,0.32,0.0393,33.8,6621000000,6621000000,0.38,5718000,2899000000
93,1494,603995,甬金股份,-0.0281,30.13,-0.87,0.0026,31.06,31,31.5,29.27,21666,64840000,0.021,1.36,0.8,0.0719,18.2,3113000000,7021000000,1.66,259000000,13620000000
94,1495,603093,南华期货,-0.0281,15.91,-0.46,0.0012,16.32,16.37,16.35,15.83,22523,36140000,0.0204,1.35,-0.1397,0.0318,142.5,1754000000,9216000000,0.11,67210000,7826000000
95,1496,601168,西部矿业,-0.0282,13.8,-0.4,0,14.01,14.2,14.01,13.55,320900,442000000,0.0134,1.17,-0.2175,0.0324,32,32830000000,32830000000,0.43,833000000,21110000000
96,1497,601166,兴业银行,-0.0282,22.75,-0.66,0.0038,23.33,23.41,23.33,22.41,930000,2110000000,0.0047,0.92,-0.0179,0.0393,7.8,4.46E+11,4.73E+11,2.9,51870000000,1.52E+11
97,1498,600933,爱柯迪,-0.0282,15.14,-0.44,-0.0026,15.58,15.58,15.67,14.98,16482,25180000,0.0019,1.75,-0.6152,0.0443,32.2,12940000000,13030000000,0.47,253000000,1743000000
98,1499,601990,南京证券,-0.0283,11.35,-0.33,0.0034,11.62,11.68,11.68,11.26,237700,273000000,0.0115,2.04,0.5319,0.036,47.2,23350000000,41760000000,0.24,715000000,1898000000
99,1500,600271,航天信息,-0.0283,12.38,-0.36,0.0039,12.77,12.74,12.78,12.28,78871,98230000,0.0042,1.82,-0.4298,0.0392,50.5,22930000000,22930000000,0.25,176000000,10860000000
100,1501,600339,中油工程,-0.0283,2.75,-0.08,0,2.82,2.83,2.82,2.74,219700,60950000,0.0039,1.75,0.1939,0.0283,15.1,15350000000,15350000000,0.18,626000000,44930000000
101,1502,603950,长源东谷,-0.0283,20.58,-0.6,0,21,21.18,21.17,20.58,9516,19800000,0.0162,1.12,0.2192,0.0269,10.6,1194000000,4776000000,1.95,217000000,1211000000
102,1503,600742,一汽富维,-0.0283,9.26,-0.27,-0.001,9.5,9.53,9.5,9.23,58510,54490000,0.0087,2.14,0.5801,0.0283,9.6,6196000000,6196000000,0.96,408000000,13580000000
103,1504,600606,绿地控股,-0.0283,5.83,-0.17,0,5.96,6,5.97,5.82,265600,156000000,0.0022,0.86,0.6457,0.025,4.7,70810000000,70810000000,1.23,12040000000,3.21E+11
104,1505,600583,海油工程,-0.0285,4.43,-0.13,0,4.54,4.56,4.55,4.41,163800,73070000,0.0037,1.95,0.5557,0.0307,26.1,19580000000,19580000000,0.17,79600000,11870000000
105,1506,601677,明泰铝业,-0.0285,14.31,-0.42,0.002,14.66,14.73,14.72,14.16,120100,172000000,0.0187,1.21,0.4042,0.038,9.4,9166000000,9464000000,1.52,718000000,11520000000
106,1507,600655,豫园股份,-0.0285,11.58,-0.34,-0.0008,11.78,11.92,12.05,11.55,393000,461000000,0.0243,0.96,0.4896,0.0419,12.6,18620000000,45040000000,0.92,1588000000,29060000000
107,1508,688215,瑞晟智能,-0.0285,41.21,-1.21,0,42.25,42.42,42.35,41.15,1030,4289000,0.0114,0.77,0.1178,0.0283,-73.6,374000000,1650000000,-0.56,19390000,101000000
108,1509,600173,卧龙地产,-0.0286,4.76,-0.14,-0.002,4.9,4.9,4.9,4.76,12770,6158000,0.0018,1.4,-0.0988,0.0286,8.5,3334000000,3337000000,0.56,205000000,948000000
109,1510,600653,申华控股,-0.0286,1.7,-0.05,0,1.73,1.75,1.74,1.69,80914,13830000,0.0042,1.88,0.1629,0.0286,-12.6,3309000000,3309000000,-0.14,-35030000,5009000000
110,1511,600490,鹏欣资源,-0.0286,4.07,-0.12,0.0048,4.17,4.19,4.18,4.01,217000,88510000,0.0129,1.55,0.4676,0.0406,535.5,6832000000,9006000000,0.01,66720000,6426000000
111,1512,688596,正帆科技,-0.0289,16.83,-0.5,-0.0012,17.29,17.33,17.31,16.73,10809,18290000,0.0198,1.02,-0.4439,0.0335,27.6,914000000,4317000000,0.61,46180000,675000000
112,1513,688196,卓越新能,-0.0289,54.17,-1.61,0.002,55.88,55.78,55.98,53.73,4594,25040000,0.0157,1.63,0.7796,0.0403,26.9,1581000000,6493000000,2.01,193000000,1203000000
113,1514,688058,宝兰德,-0.0289,80,-2.38,-0.0011,82.95,82.38,82.95,80,1546,12510000,0.0071,1.14,-0.2346,0.0358,55.9,1747000000,3200000000,1.43,1006000,73190000
114,1515,600745,闻泰科技,-0.0289,124.01,-3.69,0.004,127,127.7,131.37,121.95,209000,2629000000,0.0255,1.32,0.1368,0.0738,42.6,1.01E+11,1.54E+11,2.9,2259000000,38620000000
115,1516,603161,科华控股,-0.029,16.43,-0.49,0.0006,16.93,16.92,16.93,16.33,9985,16480000,0.0075,0.49,0.7268,0.0355,-328.4,2190000000,2190000000,-0.05,-16560000,1127000000
116,1517,688030,山石网科,-0.029,37.54,-1.12,-0.0026,39.17,38.66,39.25,37.52,6865,26300000,0.0073,1.35,0.8858,0.0447,186.7,3515000000,6767000000,0.2,-46980000,416000000
117,1518,688698,伟创电气,-0.029,16.39,-0.49,-0.0047,16.72,16.88,16.88,16.36,18695,31000000,0.0508,1.1,0.5989,0.0308,38.1,600000000,2950000000,0.43,73960000,419000000
118,1519,603650,彤程新材,-0.0291,31.74,-0.95,-0.0052,32.87,32.69,33.16,31.73,17872,57780000,0.0135,0.87,-0.8093,0.0428,56.7,4174000000,18610000000,0.56,329000000,1500000000
119,1520,600796,钱江生化,-0.0291,5.01,-0.15,0.0019,5.13,5.16,5.16,4.9,44099,22130000,0.0146,1.04,0.6523,0.0504,71.6,1510000000,1510000000,0.07,-8678000,277000000
120,1521,600811,东方集团,-0.0291,3.34,-0.1,-0.0029,3.45,3.44,3.45,3.31,280700,94150000,0.0075,2.44,0.4864,0.0407,20.9,12370000000,12370000000,0.16,478000000,11120000000
121,1522,603982,泉峰汽车,-0.0291,16.03,-0.48,-0.0006,16.55,16.51,16.6,15.95,24066,38900000,0.0295,1.26,0.5073,0.0394,29.2,1307000000,3234000000,0.55,62720000,910000000
122,1523,600300,维维股份,-0.0293,3.98,-0.12,-0.0024,4.07,4.1,4.1,3.97,248300,99890000,0.0148,1.12,0.4355,0.0317,21.6,6655000000,6655000000,0.18,316000000,3883000000
123,1524,603661,恒林股份,-0.0293,60.91,-1.84,-0.0008,62.3,62.75,63.48,60.09,10014,61790000,0.0348,1.52,0.1818,0.054,18.6,1751000000,6090000000,3.27,302000000,3226000000
124,1525,600272,开开实业,-0.0294,6.94,-0.21,0,7.06,7.15,7.13,6.93,14527,10180000,0.009,1.73,-0.7117,0.028,138.8,1110000000,1686000000,0.05,5486000,588000000
125,1526,603678,火炬电子,-0.0294,75.8,-2.3,-0.0012,76.7,78.1,78.1,75.56,43910,337000000,0.0095,0.79,-0.5385,0.0325,66.4,34800000000,34800000000,1.14,425000000,2474000000
126,1527,600209,ST罗顿,-0.0295,3.95,-0.12,-0.0049,4.02,4.07,4.09,3.95,11187,4492000,0.0024,0.76,-0.1468,0.0295,-41.7,1743000000,1743000000,-0.1,-17260000,20280000
127,1528,603517,绝味食品,-0.0295,80.94,-2.46,-0.0018,84.28,83.4,84.28,79.8,37080,301000000,0.0061,1.17,-0.2893,0.0537,69.2,49260000000,49260000000,1.17,520000000,3885000000
128,1529,688001,华兴源创,-0.0296,37.4,-1.14,0,38.28,38.54,38.5,37.25,6063,22930000,0.0158,1.14,-0.2034,0.0324,71.9,1438000000,16400000000,0.52,227000000,1192000000
129,1530,601577,长沙银行,-0.0296,9.17,-0.28,0.0021,9.4,9.45,9.46,9.13,159100,147000000,0.0159,1.22,0.7761,0.0349,6.1,9097000000,31270000000,1.51,4248000000,13110000000
130,1531,600467,好当家,-0.0296,2.62,-0.08,-0.0037,2.67,2.7,2.68,2.6,171500,45120000,0.0117,1.53,0.6031,0.0296,57.3,3828000000,3828000000,0.05,54450000,991000000
131,1532,688618,三旺通信,-0.0297,52.88,-1.62,-0.002,54,54.5,55,52.72,6497,34840000,0.0599,1.01,-0.372,0.0418,29.5,567000000,2664000000,1.79,48320000,144000000
132,1533,603015,弘讯科技,-0.0298,5.87,-0.18,0,6.02,6.05,6.05,5.87,17274,10200000,0.0043,1.48,0.6241,0.0298,36.7,2373000000,2373000000,0.16,46780000,521000000
133,1534,601611,中国核建,-0.0298,7.81,-0.24,0.0012,8,8.05,8.01,7.77,215300,169000000,0.0082,0.89,0.1222,0.0298,20,20500000000,20690000000,0.39,950000000,53240000000
134,1535,601011,宝泰隆,-0.0299,3.9,-0.12,0.0025,4,4.02,4.01,3.84,262300,102000000,0.0163,1.1,0.1015,0.0423,464.3,6259000000,6259000000,0.01,13500000,1738000000
135,1536,605168,三人行,-0.0299,178.99,-5.52,0.0024,183.31,184.51,183.83,178,3684,66290000,0.0213,1.47,-0.3514,0.0316,34.2,3083000000,12440000000,5.22,183000000,1837000000
136,1537,600093,易见股份,-0.0299,7.78,-0.24,0.0037,8.02,8.02,8.05,7.73,75608,59250000,0.0067,1.22,0.1581,0.0399,23.9,8721000000,8721000000,0.33,256000000,6578000000
137,1538,688518,联赢激光,-0.0299,13.93,-0.43,-0.0028,14.38,14.36,14.5,13.9,6620,9356000,0.0092,1,0.2376,0.0418,278.8,991000000,4171000000,0.05,12910000,478000000
138,1539,688157,松井股份,-0.03,97.1,-3,0.0002,99.26,100.1,99.98,96.19,3887,37940000,0.0205,0.74,0.2624,0.0379,67,1836000000,7729000000,1.45,64820000,317000000
139,1540,600970,中材国际,-0.03,7.12,-0.22,0.0041,7.31,7.34,7.32,7.06,225800,162000000,0.0129,1.5,0.5691,0.0354,8.4,12370000000,12370000000,0.85,1027000000,15660000000
140,1541,688218,江苏北人,-0.03,16.48,-0.51,-0.0012,16.97,16.99,16.97,16.46,3333,5543000,0.004,0.92,-0.0092,0.03,23.5,1371000000,1934000000,0.7,13610000,262000000
141,1542,600764,中国海防,-0.03,31.96,-0.99,-0.0012,32.81,32.95,32.81,31.95,22700,73390000,0.0054,1.09,0.5901,0.0252,21.1,13330000000,22720000000,1.51,363000000,2795000000
142,1543,600219,南山铝业,-0.0301,3.55,-0.11,0.0027,3.62,3.66,3.65,3.52,1213000,434000000,0.0101,0.89,0.7111,0.0355,23.5,42180000000,42180000000,0.15,1414000000,15600000000
143,1544,688585,上纬新材,-0.0301,10.97,-0.34,0.0018,11.31,11.31,11.39,10.9,15714,17460000,0.0402,1.27,0.5787,0.0433,22.4,428000000,4423000000,0.49,99860000,1311000000
144,1545,600362,江西铜业,-0.0301,22.23,-0.69,0.0057,22.45,22.92,22.69,21.93,379600,847000000,0.0182,1.42,0.0951,0.0332,40.3,46050000000,76830000000,0.55,1532000000,2.27E+11
145,1546,600058,五矿发展,-0.0301,7.08,-0.22,0.0014,7.42,7.3,7.43,7,235300,168000000,0.0219,4.33,0.3223,0.0589,58.1,7589000000,7589000000,0.12,248000000,48880000000
146,1547,600721,ST百花,-0.0301,3.54,-0.11,-0.0055,3.62,3.65,3.62,3.54,4298,1533000,0.0012,1.24,0.4071,0.0219,-24.4,1277000000,1328000000,-0.14,-41880000,81620000
147,1548,688500,慧辰资讯,-0.0302,37.63,-1.17,0,38.8,38.8,38.8,37.32,2895,10950000,0.0164,1.09,0.5152,0.0381,38.8,664000000,2795000000,0.97,17930000,227000000
148,1549,600410,华胜天成,-0.0302,8.03,-0.25,0.0012,8.29,8.28,8.29,7.99,126200,102000000,0.0115,1.62,0.5814,0.0362,416.1,8823000000,8823000000,0.02,128000000,2557000000
149,1550,603066,音飞储存,-0.0302,7.7,-0.24,0,7.9,7.94,7.91,7.7,12553,9750000,0.0042,1.36,0.0015,0.0264,27.8,2315000000,2315000000,0.28,77240000,453000000
